TRY03   Nordwestdeutsches Tiefland                                         (Klimaregion  3)
Station: Hamburg                         WMO-Nummer: 10147
Lage: 53°38'N <- B.  10°00'O <- L.    13 Meter über NN
Zeitpunkt der Erstellung: November 2010
 
Art des TRY    : extremer Winter
Bezugszeitraum : 2021-2050
Stadteffekt    : -----
Höhenkorrektur : -----
 
Datenbasis 1: Beobachtungsdaten Zeitraum 1988-2007
Datenbasis 2: Klimasimulationen Zeitraum 1971-2000 (Basis SRES-20C / ECHAM5-OM Lauf 1 / CLM; REMO-UBA; STAR2; WETTREG2006 und WETTREG2010)
Datenbasis 3: Klimasimulationen Zeitraum 2021-2050 (Basis SRES-A1B / ECHAM5-OM Lauf 1 / CLM; REMO-UBA; STAR2; WETTREG2006 und WETTREG2010)
 
Format: (i2,2x,i4,2x,i2,2x,i2,2x,i2,2x,i1,2x,i3,2x,f6.1,2x,f6.1,2x,f7.1,2x,f6.1,2x,i3,2x,i2,2x,i4,2x,i4,1x,i1,2x,i4,2x,i5,2x,i1)
 
Reihenfolge der Parameter:
RG TRY-Region                                                           {1..15}
IS Standortinformation                                                  {1,2}
MM Monat                                                                {1..12}
DD Tag                                                                  {1..28,30,31}
HH Stunde (MEZ)                                                         {1..24}
N  Bedeckungsgrad                                              [Achtel] {0..8;9}
WR Windrichtung in 10 m Höhe über Grund                        [°]      {0;10..360;999}
WG Windgeschwindigkeit in 10 m Höhe über Grund                 [m/s]
t  Lufttemperatur in 2m Höhe über Grund                        [°C]
p  Luftdruck in Stationshöhe                                   [hPa]
x  Wasserdampfgehalt, Mischungsverhältnis                      [g/kg]
RF Relative Feuchte in 2 m Höhe über Grund                     [%]      {1..100} 
W  Wetterereignis der aktuellen Stunde                                  {0..99}  
B  Direkte Sonnenbestrahlungsstärke (horiz. Ebene)             [W/m²]   abwärts gerichtet: positiv 
D  Difuse Sonnenbetrahlungsstärke (horiz. Ebene)               [W/m²]   abwärts gerichtet: positiv
IK Information, ob B und oder D Messwert/Rechenwert                     {1;2;3;4;9}
A  Bestrahlungsstärke d. atm. Wärmestrahlung (horiz. Ebene)    [W/m²]   abwärts gerichtet: positiv
E  Bestrahlungsstärke d. terr. Wärmestrahlung                  [W/m²]   aufwärts gerichtet: negativ
IL Qualitätsbit für die langwelligen Strahlungsgrößen                   {1;2;3;4;5;6;7;8;9}

 
RG    IS  MM  DD  HH  N   WR      WG       t       p        x   RF   W     B     D IK    A      E IL
***
03     1   1   1   1  8  170     2.0     3.3   1011.2     4.1   89  10     0     0 9   295   -326  9
03     1   1   1   2  8  170     2.4     3.1   1016.2     4.1   90  60     0     0 9   295   -326  9
03     1   1   1   3  8  160     2.8     3.0   1019.7     4.2   90  60     0     0 9   315   -329  9
03     1   1   1   4  8  160     3.2     3.1   1019.4     4.2   90  60     0     0 9   315   -329  9
03     1   1   1   5  8  200     3.6     3.2   1019.1     4.2   90  60     0     0 9   316   -330  9
03     1   1   1   6  8  210     4.0     3.3   1018.8     4.3   90  10     0     0 9   316   -330  9
03     1   1   1   7  8  200     4.0     3.4   1018.3     4.3   91  10     0     0 9   317   -331  9
03     1   1   1   8  8  210     5.0     3.4   1018.5     4.3   90  10     0     0 9   317   -331  9
03     1   1   1   9  8  220     4.0     3.5   1018.5     4.3   90  10     0     3 9   317   -331  9
03     1   1   1  10  8  210     5.0     3.6   1018.5     4.4   91  61     0     8 9   299   -330  9
03     1   1   1  11  8  210     4.0     3.6   1018.3     4.4   91  63     0    17 9   299   -330  9
03     1   1   1  12  8  210     5.0     3.7   1017.4     4.5   93  58     0    22 9   300   -331  9
03     1   1   1  13  8  220     5.0     4.0   1016.8     4.7   94  53     0    17 9   301   -332  9
03     1   1   1  14  8  240     4.0     4.1   1016.7     4.7   94  51     0    11 9   320   -334  9
03     1   1   1  15  8  270     4.0     5.0   1017.2     5.0   95  21     0    17 9   325   -338  9
03     1   1   1  16  7  310     5.0     6.2   1017.7     5.5   95  -1     0     8 9   313   -343  9
03     1   1   1  17  7  310     5.0     6.4   1018.6     5.3   91  -1     0     0 9   314   -344  9
03     1   1   1  18  6  300     5.0     6.4   1019.3     5.1   86  -1     0     0 9   299   -343  9
03     1   1   1  19  7  290     4.0     6.0   1020.1     4.9   86   2     0     0 9   297   -341  9
03     1   1   1  20  7  300     4.0     5.4   1020.3     5.0   91  -1     0     0 9   309   -339  9
03     1   1   1  21  8  280     5.0     4.4   1021.2     4.7   92  10     0     0 9   303   -334  9
03     1   1   1  22  8  300     4.0     4.4   1021.9     4.8   94  10     0     0 9   303   -334  9
03     1   1   1  23  8  290     4.0     4.4   1022.4     4.8   94  10     0     0 9   303   -334  9
03     1   1   1  24  8  270     2.0     4.1   1022.8     4.7   95  46     0     0 9   302   -333  9
03     1   1   2   1  8  260     3.0     3.9   1023.2     4.6   94  46     0     0 9   301   -332  9
03     1   1   2   2  8  260     3.0     3.6   1023.2     4.6   95  44     0     0 9   299   -330  9
03     1   1   2   3  8  270     3.0     3.2   1023.6     4.5   96  44     0     0 9   297   -328  9
03     1   1   2   4  8  250     2.0     3.0   1023.8     4.4   96  44     0     0 9   296   -327  9
03     1   1   2   5  8  230     3.0     2.8   1023.7     4.3   96  28     0     0 9   295   -326  9
03     1   1   2   6  8  230     3.0     2.5   1023.7     4.3   96  10     0     0 9   294   -325  9
03     1   1   2   7  8  250     4.0     2.6   1024.1     4.3   96  10     0     0 9   313   -327  9
03     1   1   2   8  8  240     5.0     2.9   1024.0     4.4   96  28     0     0 9   314   -328  9
03     1   1   2   9  8  240     6.0     2.7   1024.0     4.3   96  10     0     3 9   313   -327  9
03     1   1   2  10  9  230     5.0     2.5   1024.4     4.3   96  47     0    17 9   312   -326  9
03     1   1   2  11  8  240     5.0     2.9   1024.8     4.4   96  28     0    39 9   296   -327  9
03     1   1   2  12  7  230     7.0     4.1   1023.5     4.8   96  10     0    83 9   302   -333  9
03     1   1   2  13  8  240     5.0     4.7   1023.8     4.8   93  50     0    53 9   305   -336  9
03     1   1   2  14  7  230     6.0     5.3   1023.1     4.9   91  20     0    81 9   308   -339  9
03     1   1   2  15  7  230     6.0     5.8   1022.7     5.0   89  10     0    39 9   311   -341  9
03     1   1   2  16  8  240     5.0     6.1   1022.7     5.0   88  10     0     3 9   312   -343  9
03     1   1   2  17  8  240     5.0     6.6   1022.5     5.3   89  10     0     0 9   315   -345  9
